customer_id,plan_price,daily_limit_gb,total_monthly_gb,used_data_gb,unused_data_gb,exhaustion_days,booster_count,booster_spend,total_monthly_spend,recharge_delay_days,actual_scenario,churn_risk_score,churn_risk_label
CUST_0030,389,2.0,60.0,53.9,6.1,2,0,0,389,1,0,0.04,Low
CUST_0031,389,2.0,60.0,79.8,0.0,22,7,133,522,0,4,0.87,High
CUST_0032,389,2.0,60.0,40.5,19.5,0,0,0,389,0,1,0.7,High
CUST_0033,389,2.0,60.0,50.3,9.7,1,0,0,389,0,0,0.05,Low
CUST_0034,389,2.0,60.0,47.4,12.6,2,0,0,389,1,0,0.05,Low
CUST_0035,389,2.0,60.0,60.0,0.0,15,0,0,389,2,2,0.88,High
CUST_0036,389,2.0,60.0,47.5,12.5,2,0,0,389,1,0,0.07,Low
CUST_0037,389,2.0,60.0,55.0,5.0,2,0,0,389,0,0,0.05,Low
CUST_0038,389,2.0,60.0,20.8,39.2,0,0,0,389,0,1,0.6,Medium
CUST_0039,389,2.0,60.0,60.0,0.0,16,0,0,389,5,2,0.89,High
CUST_0040,389,2.0,60.0,60.0,0.0,18,0,0,389,5,2,0.89,High
CUST_0041,389,2.0,60.0,47.4,12.6,1,0,0,389,1,0,0.05,Low
CUST_0042,389,2.0,60.0,81.0,0.0,28,14,266,655,0,4,0.87,High
CUST_0043,389,2.0,60.0,50.1,9.9,0,0,0,389,0,0,0.06,Low
CUST_0044,389,2.0,60.0,60.0,0.0,14,0,0,389,3,2,0.85,High
CUST_0045,389,2.0,60.0,51.5,8.5,0,0,0,389,0,0,0.06,Low
CUST_0046,389,2.0,60.0,40.9,19.1,0,0,0,389,2,1,0.67,High
CUST_0047,389,2.0,60.0,54.2,5.8,1,0,0,389,1,0,0.05,Low
CUST_0048,389,2.0,60.0,60.0,0.0,21,0,0,389,5,2,0.92,High
CUST_0049,389,2.0,60.0,26.0,34.0,0,0,0,389,1,1,0.59,Medium
CUST_0050,389,2.0,60.0,84.5,0.0,22,7,133,522,0,4,0.84,High
CUST_0051,389,2.0,60.0,71.3,0.0,13,6,114,503,0,3,0.86,High
CUST_0052,389,2.0,60.0,89.0,0.0,25,12,228,617,0,4,0.58,Medium
CUST_0053,389,2.0,60.0,60.0,0.0,20,0,0,389,4,2,0.86,High
CUST_0054,389,2.0,60.0,48.1,11.9,1,0,0,389,1,0,0.05,Low
CUST_0055,389,2.0,60.0,77.6,0.0,25,7,133,522,0,4,0.89,High
CUST_0056,389,2.0,60.0,48.7,11.3,2,0,0,389,0,0,0.04,Low
CUST_0057,389,2.0,60.0,60.0,0.0,14,0,0,389,3,2,0.85,High
CUST_0058,389,2.0,60.0,54.7,5.3,0,0,0,389,0,0,0.1,Low
CUST_0059,389,2.0,60.0,60.0,0.0,13,0,0,389,2,2,0.88,High
CUST_0060,389,2.0,60.0,60.0,0.0,12,0,0,389,2,2,0.88,High
CUST_0061,389,2.0,60.0,34.3,25.7,0,0,0,389,0,1,0.65,High
CUST_0062,389,2.0,60.0,82.0,0.0,27,11,209,598,0,4,0.76,High
CUST_0063,389,2.0,60.0,71.7,0.0,12,3,57,446,0,3,0.82,High
CUST_0064,389,2.0,60.0,60.0,0.0,12,0,0,389,5,2,0.9,High
CUST_0065,389,2.0,60.0,53.5,6.5,2,0,0,389,1,0,0.05,Low
CUST_0066,389,2.0,60.0,53.4,6.6,2,0,0,389,1,0,0.04,Low
CUST_0067,389,2.0,60.0,51.7,8.3,2,0,0,389,1,0,0.04,Low
CUST_0068,389,2.0,60.0,48.2,11.8,0,0,0,389,0,0,0.05,Low
CUST_0069,389,2.0,60.0,47.9,12.1,2,0,0,389,1,0,0.05,Low
CUST_0070,389,2.0,60.0,88.7,0.0,23,13,247,636,0,4,0.6,Medium
CUST_0071,389,2.0,60.0,69.5,0.0,13,6,114,503,0,3,0.84,High
CUST_0072,389,2.0,60.0,75.4,0.0,23,8,152,541,0,4,0.87,High
CUST_0073,389,2.0,60.0,60.0,0.0,14,0,0,389,2,2,0.88,High
CUST_0074,389,2.0,60.0,87.6,0.0,23,12,228,617,0,4,0.86,High
CUST_0075,389,2.0,60.0,48.0,12.0,2,0,0,389,1,0,0.05,Low
CUST_0076,389,2.0,60.0,66.9,0.0,11,3,57,446,0,3,0.86,High
CUST_0077,389,2.0,60.0,66.4,0.0,13,5,95,484,0,3,0.82,High
CUST_0078,389,2.0,60.0,46.3,13.7,1,0,0,389,1,0,0.04,Low
CUST_0079,389,2.0,60.0,49.0,11.0,2,0,0,389,1,0,0.06,Low
CUST_0080,389,2.0,60.0,46.8,13.2,1,0,0,389,0,0,0.04,Low
CUST_0081,389,2.0,60.0,60.0,0.0,12,0,0,389,3,2,0.88,High
CUST_0082,389,2.0,60.0,26.0,34.0,0,0,0,389,1,1,0.59,Medium
CUST_0083,389,2.0,60.0,60.0,0.0,16,0,0,389,2,2,0.86,High
CUST_0084,389,2.0,60.0,68.9,0.0,13,3,57,446,0,3,0.81,High
CUST_0085,389,2.0,60.0,48.6,11.4,0,0,0,389,1,0,0.04,Low
CUST_0086,389,2.0,60.0,45.5,14.5,0,0,0,389,1,0,0.04,Low
CUST_0087,389,2.0,60.0,68.3,0.0,9,4,76,465,0,3,0.9,High
CUST_0088,389,2.0,60.0,24.3,35.7,0,0,0,389,1,1,0.55,Medium
CUST_0089,389,2.0,60.0,54.5,5.5,1,0,0,389,1,0,0.05,Low
CUST_0090,389,2.0,60.0,60.0,0.0,21,0,0,389,5,2,0.92,High
CUST_0091,389,2.0,60.0,60.0,0.0,15,0,0,389,5,2,0.9,High
CUST_0092,389,2.0,60.0,60.0,0.0,12,0,0,389,5,2,0.9,High
CUST_0093,389,2.0,60.0,83.6,0.0,23,9,171,560,0,4,0.92,High
CUST_0094,389,2.0,60.0,33.6,26.4,0,0,0,389,0,1,0.64,Medium
CUST_0095,389,2.0,60.0,69.6,0.0,10,6,114,503,0,3,0.88,High
CUST_0096,389,2.0,60.0,48.8,11.2,0,0,0,389,0,0,0.05,Low
CUST_0097,389,2.0,60.0,51.6,8.4,0,0,0,389,1,0,0.05,Low
CUST_0098,389,2.0,60.0,47.6,12.4,2,0,0,389,1,0,0.07,Low
CUST_0099,389,2.0,60.0,54.4,5.6,0,0,0,389,0,0,0.07,Low
CUST_0100,389,2.0,60.0,30.6,29.4,0,0,0,389,2,1,0.64,Medium
CUST_0101,389,2.0,60.0,29.3,30.7,0,0,0,389,2,1,0.63,Medium
CUST_0102,389,2.0,60.0,83.4,0.0,25,7,133,522,0,4,0.9,High
CUST_0103,389,2.0,60.0,66.7,0.0,13,3,57,446,0,3,0.85,High
CUST_0104,389,2.0,60.0,29.7,30.3,0,0,0,389,0,1,0.64,Medium
CUST_0105,389,2.0,60.0,45.1,14.9,0,0,0,389,0,0,0.18,Low
CUST_0106,389,2.0,60.0,54.5,5.5,2,0,0,389,1,0,0.04,Low
CUST_0107,389,2.0,60.0,27.3,32.7,0,0,0,389,0,1,0.59,Medium
CUST_0108,389,2.0,60.0,54.5,5.5,0,0,0,389,0,0,0.07,Low
CUST_0109,389,2.0,60.0,21.4,38.6,0,0,0,389,2,1,0.64,Medium
CUST_0110,389,2.0,60.0,68.8,0.0,10,4,76,465,0,3,0.88,High
CUST_0111,389,2.0,60.0,60.0,0.0,21,0,0,389,5,2,0.92,High
CUST_0112,389,2.0,60.0,68.0,0.0,9,3,57,446,0,3,0.87,High
CUST_0113,389,2.0,60.0,65.6,0.0,12,4,76,465,0,3,0.83,High
CUST_0114,389,2.0,60.0,48.7,11.3,0,0,0,389,0,0,0.05,Low
CUST_0115,389,2.0,60.0,60.0,0.0,15,0,0,389,3,2,0.86,High
CUST_0116,389,2.0,60.0,29.4,30.6,0,0,0,389,2,1,0.62,Medium
CUST_0117,389,2.0,60.0,76.7,0.0,24,11,209,598,0,4,0.85,High
CUST_0118,389,2.0,60.0,21.4,38.6,0,0,0,389,0,1,0.57,Medium
CUST_0119,389,2.0,60.0,69.8,0.0,11,4,76,465,0,3,0.83,High
CUST_0120,389,2.0,60.0,22.1,37.9,0,0,0,389,0,1,0.56,Medium
CUST_0121,389,2.0,60.0,75.2,0.0,29,11,209,598,0,4,0.65,High
CUST_0122,389,2.0,60.0,82.9,0.0,24,10,190,579,0,4,0.84,High
CUST_0123,389,2.0,60.0,60.0,0.0,15,0,0,389,2,2,0.88,High
CUST_0124,389,2.0,60.0,60.0,0.0,12,0,0,389,2,2,0.88,High
CUST_0125,389,2.0,60.0,52.4,7.6,2,0,0,389,1,0,0.04,Low
CUST_0126,389,2.0,60.0,48.9,11.1,0,0,0,389,1,0,0.04,Low
CUST_0127,389,2.0,60.0,60.0,0.0,19,0,0,389,3,2,0.85,High
CUST_0128,389,2.0,60.0,48.6,11.4,2,0,0,389,1,0,0.04,Low
CUST_0129,389,2.0,60.0,49.1,10.9,0,0,0,389,1,0,0.04,Low
CUST_0130,389,2.0,60.0,45.8,14.2,1,0,0,389,1,0,0.05,Low
CUST_0131,389,2.0,60.0,60.0,0.0,20,0,0,389,3,2,0.84,High
CUST_0132,389,2.0,60.0,83.3,0.0,26,13,247,636,0,4,0.85,High
CUST_0133,389,2.0,60.0,68.4,0.0,14,3,57,446,0,3,0.83,High
CUST_0134,389,2.0,60.0,67.8,0.0,10,5,95,484,0,3,0.86,High
CUST_0135,389,2.0,60.0,45.4,14.6,2,0,0,389,0,0,0.04,Low
CUST_0136,389,2.0,60.0,51.9,8.1,0,0,0,389,0,0,0.05,Low
CUST_0137,389,2.0,60.0,83.8,0.0,26,11,209,598,0,4,0.79,High
CUST_0138,389,2.0,60.0,47.4,12.6,0,0,0,389,1,0,0.05,Low
CUST_0139,389,2.0,60.0,47.1,12.9,0,0,0,389,0,0,0.05,Low
CUST_0140,389,2.0,60.0,47.7,12.3,2,0,0,389,1,0,0.05,Low
CUST_0141,389,2.0,60.0,40.8,19.2,0,0,0,389,1,1,0.69,High
CUST_0142,389,2.0,60.0,60.0,0.0,16,0,0,389,3,2,0.86,High
CUST_0143,389,2.0,60.0,23.4,36.6,0,0,0,389,2,1,0.63,Medium
CUST_0144,389,2.0,60.0,69.5,0.0,10,5,95,484,0,3,0.85,High
CUST_0145,389,2.0,60.0,60.0,0.0,13,0,0,389,3,2,0.86,High
CUST_0146,389,2.0,60.0,60.0,0.0,14,0,0,389,4,2,0.84,High
CUST_0147,389,2.0,60.0,31.3,28.7,0,0,0,389,2,1,0.64,Medium
CUST_0148,389,2.0,60.0,60.0,0.0,14,0,0,389,2,2,0.88,High
CUST_0149,389,2.0,60.0,54.3,5.7,1,0,0,389,0,0,0.06,Low
CUST_0150,389,2.0,60.0,44.5,15.5,0,0,0,389,0,1,0.26,Low
CUST_0151,389,2.0,60.0,50.8,9.2,2,0,0,389,0,0,0.05,Low
CUST_0152,389,2.0,60.0,34.6,25.4,0,0,0,389,2,1,0.62,Medium
CUST_0153,389,2.0,60.0,60.0,0.0,19,0,0,389,5,2,0.92,High
CUST_0154,389,2.0,60.0,82.1,0.0,26,14,266,655,0,4,0.84,High
CUST_0155,389,2.0,60.0,45.4,14.6,0,0,0,389,1,0,0.04,Low
CUST_0156,389,2.0,60.0,45.9,14.1,0,0,0,389,0,0,0.06,Low
CUST_0157,389,2.0,60.0,48.6,11.4,1,0,0,389,1,0,0.05,Low
CUST_0158,389,2.0,60.0,53.0,7.0,0,0,0,389,1,0,0.04,Low
CUST_0159,389,2.0,60.0,88.8,0.0,26,7,133,522,0,4,0.87,High
CUST_0160,389,2.0,60.0,70.2,0.0,12,6,114,503,0,3,0.84,High
CUST_0161,389,2.0,60.0,49.8,10.2,1,0,0,389,1,0,0.05,Low
CUST_0162,389,2.0,60.0,38.7,21.3,0,0,0,389,1,1,0.7,High
CUST_0163,389,2.0,60.0,51.9,8.1,2,0,0,389,1,0,0.04,Low
CUST_0164,389,2.0,60.0,53.7,6.3,1,0,0,389,0,0,0.05,Low
CUST_0165,389,2.0,60.0,52.4,7.6,1,0,0,389,0,0,0.05,Low
CUST_0166,389,2.0,60.0,48.3,11.7,0,0,0,389,0,0,0.05,Low
CUST_0167,389,2.0,60.0,28.9,31.1,0,0,0,389,0,1,0.65,High
CUST_0168,389,2.0,60.0,50.4,9.6,1,0,0,389,0,0,0.06,Low
CUST_0169,389,2.0,60.0,23.2,36.8,0,0,0,389,0,1,0.56,Medium
CUST_0170,389,2.0,60.0,84.1,0.0,24,14,266,655,0,4,0.92,High
CUST_0171,389,2.0,60.0,54.3,5.7,0,0,0,389,1,0,0.09,Low
CUST_0172,389,2.0,60.0,49.9,10.1,1,0,0,389,0,0,0.05,Low
CUST_0173,389,2.0,60.0,65.4,0.0,8,5,95,484,0,3,0.88,High
CUST_0174,389,2.0,60.0,52.0,8.0,2,0,0,389,1,0,0.04,Low
CUST_0175,389,2.0,60.0,88.0,0.0,27,12,228,617,0,4,0.71,High
CUST_0176,389,2.0,60.0,51.7,8.3,0,0,0,389,1,0,0.05,Low
CUST_0177,389,2.0,60.0,60.0,0.0,14,0,0,389,2,2,0.88,High
CUST_0178,389,2.0,60.0,48.2,11.8,2,0,0,389,1,0,0.05,Low
CUST_0179,389,2.0,60.0,46.1,13.9,1,0,0,389,1,0,0.05,Low
CUST_0180,389,2.0,60.0,60.0,0.0,15,0,0,389,2,2,0.88,High
CUST_0181,389,2.0,60.0,48.4,11.6,1,0,0,389,0,0,0.05,Low
CUST_0182,389,2.0,60.0,79.8,0.0,23,10,190,579,0,4,0.83,High
CUST_0183,389,2.0,60.0,60.0,0.0,12,0,0,389,2,2,0.88,High
CUST_0184,389,2.0,60.0,30.3,29.7,0,0,0,389,1,1,0.68,High
CUST_0185,389,2.0,60.0,86.2,0.0,23,12,228,617,0,4,0.86,High
CUST_0186,389,2.0,60.0,78.1,0.0,24,9,171,560,0,4,0.93,High
CUST_0187,389,2.0,60.0,65.3,0.0,12,6,114,503,0,3,0.86,High
CUST_0188,389,2.0,60.0,70.6,0.0,10,3,57,446,0,3,0.86,High
CUST_0189,389,2.0,60.0,51.3,8.7,1,0,0,389,1,0,0.05,Low
CUST_0190,389,2.0,60.0,60.0,0.0,13,0,0,389,5,2,0.84,High
CUST_0191,389,2.0,60.0,71.3,0.0,12,4,76,465,0,3,0.81,High
CUST_0192,389,2.0,60.0,34.4,25.6,0,0,0,389,0,1,0.65,High
CUST_0193,389,2.0,60.0,50.4,9.6,2,0,0,389,0,0,0.05,Low
CUST_0194,389,2.0,60.0,84.4,0.0,29,8,152,541,0,4,0.91,High
CUST_0195,389,2.0,60.0,69.3,0.0,11,4,76,465,0,3,0.83,High
CUST_0196,389,2.0,60.0,66.1,0.0,8,3,57,446,0,3,0.89,High
CUST_0197,389,2.0,60.0,65.2,0.0,13,4,76,465,0,3,0.82,High
CUST_0198,389,2.0,60.0,80.1,0.0,27,11,209,598,0,4,0.75,High
CUST_0199,389,2.0,60.0,65.9,0.0,14,3,57,446,0,3,0.85,High
CUST_0200,389,2.0,60.0,30.2,29.8,0,0,0,389,0,1,0.64,Medium
CUST_0201,389,2.0,60.0,60.0,0.0,14,0,0,389,5,2,0.85,High
CUST_0202,389,2.0,60.0,48.5,11.5,2,0,0,389,1,0,0.04,Low
CUST_0203,389,2.0,60.0,60.0,0.0,19,0,0,389,4,2,0.87,High
CUST_0204,389,2.0,60.0,77.3,0.0,26,14,266,655,0,4,0.91,High
CUST_0205,389,2.0,60.0,60.0,0.0,19,0,0,389,5,2,0.92,High
CUST_0206,389,2.0,60.0,54.2,5.8,0,0,0,389,1,0,0.06,Low
CUST_0207,389,2.0,60.0,60.0,0.0,12,0,0,389,5,2,0.9,High
CUST_0208,389,2.0,60.0,45.8,14.2,1,0,0,389,1,0,0.05,Low
CUST_0209,389,2.0,60.0,76.8,0.0,26,11,209,598,0,4,0.81,High
CUST_0210,389,2.0,60.0,53.4,6.6,0,0,0,389,0,0,0.05,Low
CUST_0211,389,2.0,60.0,51.1,8.9,2,0,0,389,0,0,0.05,Low
CUST_0212,389,2.0,60.0,52.9,7.1,1,0,0,389,0,0,0.06,Low
CUST_0213,389,2.0,60.0,41.6,18.4,0,0,0,389,1,1,0.64,Medium
CUST_0214,389,2.0,60.0,52.4,7.6,0,0,0,389,1,0,0.04,Low
CUST_0215,389,2.0,60.0,23.5,36.5,0,0,0,389,0,1,0.55,Medium
CUST_0216,389,2.0,60.0,42.9,17.1,0,0,0,389,0,1,0.68,High
CUST_0217,389,2.0,60.0,47.2,12.8,1,0,0,389,0,0,0.04,Low
CUST_0218,389,2.0,60.0,81.9,0.0,25,12,228,617,0,4,0.84,High
CUST_0219,389,2.0,60.0,24.6,35.4,0,0,0,389,2,1,0.55,Medium
CUST_0220,389,2.0,60.0,52.5,7.5,2,0,0,389,1,0,0.04,Low
CUST_0221,389,2.0,60.0,46.9,13.1,0,0,0,389,0,0,0.05,Low
CUST_0222,389,2.0,60.0,60.0,0.0,13,0,0,389,2,2,0.88,High
CUST_0223,389,2.0,60.0,33.1,26.9,0,0,0,389,0,1,0.65,High
CUST_0224,389,2.0,60.0,60.0,0.0,15,0,0,389,2,2,0.88,High
CUST_0225,389,2.0,60.0,52.5,7.5,1,0,0,389,1,0,0.04,Low
CUST_0226,389,2.0,60.0,40.0,20.0,0,0,0,389,2,1,0.43,Medium
CUST_0227,389,2.0,60.0,69.6,0.0,8,3,57,446,0,3,0.88,High
CUST_0228,389,2.0,60.0,51.7,8.3,0,0,0,389,1,0,0.05,Low
CUST_0229,389,2.0,60.0,66.2,0.0,8,6,114,503,0,3,0.9,High
CUST_0230,389,2.0,60.0,47.4,12.6,1,0,0,389,1,0,0.05,Low
CUST_0231,389,2.0,60.0,67.8,0.0,12,4,76,465,0,3,0.83,High
CUST_0232,389,2.0,60.0,54.0,6.0,2,0,0,389,1,0,0.04,Low
CUST_0233,389,2.0,60.0,45.3,14.7,0,0,0,389,0,0,0.14,Low
CUST_0234,389,2.0,60.0,42.3,17.7,0,0,0,389,2,1,0.68,High
CUST_0235,389,2.0,60.0,53.3,6.7,2,0,0,389,0,0,0.04,Low
CUST_0236,389,2.0,60.0,67.4,0.0,13,3,57,446,0,3,0.85,High
CUST_0237,389,2.0,60.0,54.5,5.5,1,0,0,389,1,0,0.05,Low
CUST_0238,389,2.0,60.0,82.3,0.0,27,13,247,636,0,4,0.83,High
CUST_0239,389,2.0,60.0,20.6,39.4,0,0,0,389,1,1,0.65,High
CUST_0240,389,2.0,60.0,60.0,0.0,20,0,0,389,4,2,0.86,High
CUST_0241,389,2.0,60.0,60.0,0.0,15,0,0,389,3,2,0.86,High
CUST_0242,389,2.0,60.0,47.7,12.3,2,0,0,389,1,0,0.05,Low
CUST_0243,389,2.0,60.0,50.8,9.2,1,0,0,389,1,0,0.05,Low
CUST_0244,389,2.0,60.0,60.0,0.0,21,0,0,389,5,2,0.92,High
CUST_0245,389,2.0,60.0,46.4,13.6,0,0,0,389,0,0,0.05,Low
CUST_0246,389,2.0,60.0,60.0,0.0,20,0,0,389,2,2,0.85,High
CUST_0247,389,2.0,60.0,81.3,0.0,25,12,228,617,0,4,0.84,High
CUST_0248,389,2.0,60.0,46.7,13.3,2,0,0,389,0,0,0.03,Low
CUST_0249,389,2.0,60.0,60.0,0.0,21,0,0,389,2,2,0.8,High
CUST_0250,389,2.0,60.0,48.6,11.4,0,0,0,389,0,0,0.05,Low
CUST_0251,389,2.0,60.0,60.0,0.0,13,0,0,389,4,2,0.85,High
CUST_0252,389,2.0,60.0,86.0,0.0,22,8,152,541,0,4,0.84,High
CUST_0253,389,2.0,60.0,51.0,9.0,2,0,0,389,0,0,0.05,Low
CUST_0254,389,2.0,60.0,60.0,0.0,13,0,0,389,2,2,0.88,High
CUST_0255,389,2.0,60.0,45.8,14.2,0,0,0,389,0,0,0.05,Low
CUST_0256,389,2.0,60.0,60.0,0.0,21,0,0,389,2,2,0.8,High
CUST_0257,389,2.0,60.0,70.6,0.0,11,5,95,484,0,3,0.84,High
CUST_0258,389,2.0,60.0,60.0,0.0,14,0,0,389,2,2,0.88,High
CUST_0259,389,2.0,60.0,77.1,0.0,23,7,133,522,0,4,0.89,High
CUST_0260,389,2.0,60.0,50.4,9.6,2,0,0,389,1,0,0.04,Low
CUST_0261,389,2.0,60.0,70.1,0.0,13,6,114,503,0,3,0.83,High
CUST_0262,389,2.0,60.0,25.5,34.5,0,0,0,389,1,1,0.59,Medium
CUST_0263,389,2.0,60.0,60.0,0.0,21,0,0,389,5,2,0.92,High
CUST_0264,389,2.0,60.0,50.7,9.3,1,0,0,389,0,0,0.06,Low
CUST_0265,389,2.0,60.0,60.0,0.0,20,0,0,389,4,2,0.86,High
CUST_0266,389,2.0,60.0,89.2,0.0,23,13,247,636,0,4,0.67,High
CUST_0267,389,2.0,60.0,67.2,0.0,9,5,95,484,0,3,0.88,High
CUST_0268,389,2.0,60.0,60.0,0.0,14,0,0,389,5,2,0.85,High
CUST_0269,389,2.0,60.0,52.0,8.0,1,0,0,389,0,0,0.05,Low
CUST_0270,389,2.0,60.0,60.0,0.0,19,0,0,389,2,2,0.86,High
CUST_0271,389,2.0,60.0,60.0,0.0,13,0,0,389,2,2,0.88,High
CUST_0272,389,2.0,60.0,60.0,0.0,13,0,0,389,4,2,0.85,High
CUST_0273,389,2.0,60.0,75.0,0.0,26,11,209,598,0,4,0.67,High
CUST_0274,389,2.0,60.0,76.1,0.0,27,10,190,579,0,4,0.8,High
CUST_0275,389,2.0,60.0,45.4,14.6,0,0,0,389,1,0,0.04,Low
CUST_0276,389,2.0,60.0,86.5,0.0,22,13,247,636,0,4,0.88,High
CUST_0277,389,2.0,60.0,66.7,0.0,10,3,57,446,0,3,0.88,High
CUST_0278,389,2.0,60.0,48.0,12.0,1,0,0,389,0,0,0.05,Low
CUST_0279,389,2.0,60.0,54.9,5.1,0,0,0,389,0,0,0.09,Low
CUST_0280,389,2.0,60.0,60.0,0.0,21,0,0,389,2,2,0.8,High
CUST_0281,389,2.0,60.0,49.2,10.8,2,0,0,389,1,0,0.04,Low
CUST_0282,389,2.0,60.0,89.8,0.0,28,10,190,579,0,4,0.72,High
CUST_0283,389,2.0,60.0,40.9,19.1,0,0,0,389,1,1,0.69,High
CUST_0284,389,2.0,60.0,25.8,34.2,0,0,0,389,1,1,0.59,Medium
CUST_0285,389,2.0,60.0,54.6,5.4,1,0,0,389,0,0,0.1,Low
CUST_0286,389,2.0,60.0,88.3,0.0,24,10,190,579,0,4,0.75,High
CUST_0287,389,2.0,60.0,49.0,11.0,1,0,0,389,1,0,0.08,Low
CUST_0288,389,2.0,60.0,53.2,6.8,1,0,0,389,0,0,0.07,Low
CUST_0289,389,2.0,60.0,34.8,25.2,0,0,0,389,1,1,0.66,High
CUST_0290,389,2.0,60.0,29.8,30.2,0,0,0,389,2,1,0.63,Medium
CUST_0291,389,2.0,60.0,89.3,0.0,25,8,152,541,0,4,0.83,High
CUST_0292,389,2.0,60.0,60.0,0.0,16,0,0,389,4,2,0.87,High
CUST_0293,389,2.0,60.0,29.3,30.7,0,0,0,389,2,1,0.63,Medium
CUST_0294,389,2.0,60.0,22.0,38.0,0,0,0,389,0,1,0.56,Medium
CUST_0295,389,2.0,60.0,75.9,0.0,26,14,266,655,0,4,0.9,High
CUST_0296,389,2.0,60.0,83.6,0.0,29,8,152,541,0,4,0.91,High
CUST_0297,389,2.0,60.0,86.0,0.0,29,9,171,560,0,4,0.93,High
CUST_0298,389,2.0,60.0,46.6,13.4,0,0,0,389,0,0,0.05,Low
CUST_0299,389,2.0,60.0,60.0,0.0,21,0,0,389,5,2,0.92,High
CUST_0300,389,2.0,60.0,66.1,0.0,10,3,57,446,0,3,0.88,High
CUST_0301,389,2.0,60.0,53.3,6.7,1,0,0,389,1,0,0.05,Low
CUST_0302,389,2.0,60.0,66.1,0.0,11,4,76,465,0,3,0.85,High
CUST_0303,389,2.0,60.0,20.2,39.8,0,0,0,389,0,1,0.58,Medium
CUST_0304,389,2.0,60.0,84.5,0.0,28,8,152,541,0,4,0.89,High
CUST_0305,389,2.0,60.0,39.5,20.5,0,0,0,389,1,1,0.69,High
CUST_0306,389,2.0,60.0,49.3,10.7,1,0,0,389,0,0,0.05,Low
CUST_0307,389,2.0,60.0,52.5,7.5,1,0,0,389,1,0,0.04,Low
CUST_0308,389,2.0,60.0,71.6,0.0,8,6,114,503,0,3,0.92,High
CUST_0309,389,2.0,60.0,60.0,0.0,12,0,0,389,3,2,0.88,High
CUST_0310,389,2.0,60.0,53.7,6.3,2,0,0,389,0,0,0.04,Low
CUST_0311,389,2.0,60.0,60.0,0.0,15,0,0,389,2,2,0.88,High
CUST_0312,389,2.0,60.0,53.2,6.8,2,0,0,389,0,0,0.08,Low
CUST_0313,389,2.0,60.0,45.0,15.0,1,0,0,389,1,0,0.06,Low
CUST_0314,389,2.0,60.0,76.5,0.0,22,13,247,636,0,4,0.9,High
CUST_0315,389,2.0,60.0,67.1,0.0,9,5,95,484,0,3,0.88,High
